post,target_minority,label
Female lonelinessignores 90 of menonly fucks Chadsgets pumped and dumped or used as a cum dumpster when Chad's main bitch is being a bitchI'm lonely girls can be incel too,women,5
Females are far more likely to loudly boast about their mental problems for attention while men commit four times as many suicides,women,5
"Females who post shitty advice  for the BILLIONTH time there is only 1 way you can help incelsAnd all you have to do is spread your legs for an incel, nothing else you say matters or means anything",women,5
Feminism is toxic for menDiscuss and critically evaluate in less than 2000 words.,women,5
Feminism- bunch of adult women deciding that it's ok to permanently disfigure a baby boy's penis.,women,5
Feminist compares Cologne mass rape to white men raping her with their eyes  reuropean,women,5
"Feminist hypocrisy Why is it wrong for a man to want a virgin girl when he's not a virgin, but it's okay for a girl to want a guy with a big dick when she doesn't have a big dick",women,5
Femoids give me disgusted looksWhen Im in public they glance at me disgusted that I can be near them.,women,5
Find yourself an Asian girl. She'll be more docile.,asian,1
Fly Q-How do you kill 100 Flys at onceA-Hit an Ethiopian in the face with a frying pan.,black,2
Four-year-old boy Why did she get to walk in first Dad Because she's a girl. And girls go first. Four-year-old boy Why That's DUMB!' Dad Because girls need protecting from strong boys like you.,women,5
Frederick neichzche embraced the notion that for a race to evolve there had to be a struggle to kill of the weaker elements to keep them from contaminating the gene pool. in the US one could say that there is a breeding program to breed dumb ghetto blacks .,black,2
"Friend how dark is your humor Me If you whip it enough, it will start picking cotton.",black,2
Fuck International Women's DayDumb fucking holiday of women thinking they're so oppressed and superior to men when that's not true.,women,5
Fuck that niggah he so weak he cant tell that you a freak,black,2
"Fuck white people with all their crap and bullshit. Black people should have a place to chill and hang around... Wait I know a place, it's called Prison",black,2
Fuck you bitches who send dudes to child support court just because you're petty,women,5
Fundamental understanding of meaning fail @user I'm not sexist or anything but EVERY girl is crazy no exceptions.,women,5
Gangs of Black thieves rob... assault....terrorize ....and destroy.....AMERICA.....NEVER GIVE UP YOUR GUNS.....OR YOU ARE NEXT!,black,2
Gay Muslims are the horniest. They blow the entire neighborhood.,muslim,4
Gays are an important part of any military. You need someone to rape the men.,LGBT,0
"Genesis 1612He will be a wild donkey of a man; his hand will be against everyone and everyone's hand against him, and he will live in hostility toward all his brothersIshmael was Abraham's firstborn, from his slave HagarIshmael is recognized by Muslims as being the forefather of Muhammad",muslim,4
Girls I have dated can never estimate measurements. Just make sure you never date a female carpenter.,women,5
"Girls will literally try to talk to you about how bad your ex is, then literally be blowing their phone up behind your back. Smh",women,5
"Glad it made news your way the truth must be told but have you noticed it says it is not a racist attack , Oh but we all know the story shall it of been some poor black bastard bashed to near death in Dublin eh",black,2
Go back to China.,asian,1
God in Heaven Hitler on EarthJews in the atmosphere,jewish,3
"God made Adam and Eve, not Adele and Eve.",women,5
Good news! AIDS is no longer the leading cause of death in Africa! Seems like they're finally starving before a mosquito can bite them.,black,2
Got a iPhone for business but the sidekick is for the bitches,women,5
Gotta watch these hoes,women,5
Gshit though I can't stand a nigga who can't be a father to his kid but was more then likely begging u to have it,black,2
"Guys  and gals  , just wanted to say  there are few things more entertaining than watching you do another arrogant negro poster .",black,2
Guys I have a question when a gay couple gets married Who makes the sandwiches,LGBT,0
"HR Block employee when my best friend who's black and I went to get our taxes done together Employed Me Yes. HR Any children Me No. HR, turns to my friend Okay, and you. Employed Him Yes. HR Any children Him No. HR Are you sure Him Um... HR Just checking. Him Yes, I'm sure.",black,2
HAHAHAHA @user a woman SHOULD NOT be proposing to a man under no circumstances b..u cant tell me nothing. call me sexist idccccc,women,5
"Hahaha, you're so funny! You're not asexual! There's no such thing! Humans are MADE for sex! You just haven't had GOOD sex yet! Someday you'll meet the right guy and you'll want to screw his brains out, and then you'll remember how insane you were to ever say you're asexual!",LGBT,0
"Has to be a parody account. @user I'm not sexist, but women just shouldn't be sports announcers.",women,5
Have a free blindfold. @user I'm not sexist... But I don't wanna watch women talk to each other about sports.,women,5
Have you guys heard of the stuntman KKKenivel His most famous trick is where he tries to jump 15 black people with a steamroller,black,2
"Have you heard of the black guy who got the wrong limb amputated three times in a row The doctors knew that wouldn't happen again. Anyway, they should have considered these people have schlongs the size of a forearm.",black,2
Having a criminal record is more attractive to women than having a PhDA violent alpha male is the ultimate sexual desire for women.,women,5
Having a dog on the table during dinner isn't acceptable. Unless you're Korean.,asian,1
He is just telling the truth as usual the filthy jews need to clamp down as soon as possible .,jewish,3
"He's a retarded feral negro  yes , feral humans who cannot talk occasionally pop up , having been abandoned as children.  .",black,2
Heard this from a 12 year old 'Whats the difference between black people and apples' I like apples,black,2
Hey #Sweden how you liking those immigrants now #Stockholm Wonder how many will say it's not radical islamic terro http,muslim,4
"Hi, i am just looking for whitepride men in the western canada area particularly BC just to talk to hangout or whatever .",black,2
Hitler is my car-repairman He's always able to get the gas going again,jewish,3
"Hitler opened a restaurant, what did he called it Kentucky Fried jews.",jewish,3
Hitler set some jews on fire and then jews go to Palestine and kill muslims in it The joke there is no relation,jewish,3
Hitler was a good doctor. He cured tons of disabilities.,jewish,3
Hoes gone be hoes but thats none my business !!,women,5
Homeless Where do Western Hobo's go for foodFood shelter Where do Asian Hobo's go for foodDog shelters,asian,1
Honestly the trope that women who aren't natural hating themselves or being insecure is old and tired. But y'all continue to go off I guess,women,5
How are Jews and Electric Cars similar They both hate Gas!,jewish,3
How are black people like monkeys They both hang from trees,black,2
How black mothers keep their children from biting their nails they make them wear shoes,black,2
How can a woman take u serious when you're a hoe I mean RT @user How can a nigga take you serious when youre a hoe Lol like..,women,5
How dare I suggest boys' suffering needs attention too,women,5
How dark is my humor Dark enough to get six warning shots in the back,black,2
How dark is my humour It picks cotton.,black,2
How did Hitler kill so many Jews Free transportation,jewish,3
How did Jews save money on remote communication during WW2 They used smoke signals.,jewish,3
How did hitler get the jews into the gas chambers He threw a penny in.,jewish,3
How did the Jews react when WW II was over They were so gassed,jewish,3
How do Jews celebrate Christmas They install a parking meter on the roof.,jewish,3
How do you always win an argument against a black person Call him Dad and he'll run away.,black,2
How do you call a car thief that can't drive A black woman.,women,5
How do you call someone with Down that likes other men A Chromosexual,LGBT,0
How do you call sucking an an asian's dick Flossing,asian,1
How do you clean up an oil spill blacks are swimming in By letting the sharks out.,black,2
How do you discriminate against a Black Jew Get to the back of the oven,black,2
How do you dissect a Muslim Pretty sure the bomb does it for you,muslim,4
How do you find a black man. In a white persons house.,black,2
How do you get 11 million followers Run through Africa with a bottle of water.,black,2
How do you get 20 jews in the back seat of a Volkswagen Toss a 50 in the back seat,jewish,3
How do you get a Jew to stop following you You throw a penny in the middle of a  highway,jewish,3
How do you get a Korean dad to let you date his daughter Don't be black.,black,2
How do you get a black man out of a tree Cut the rope.,black,2
How do you get a black person down from a tree You cut the rope.,black,2
How do you keep black people from hanging out in your backyard Hang them out front.,black,2
How do you know if a black girl is pregnant The cotton is picked off the tampon,black,2
How do you know if your dick is big When she starts screaming nooo please stop raping me,women,5
How do you know when a cake is done baking in the oven When the Jews stop screaming,jewish,3
"How do you know your house was robbed by an Asian Your homework is done for you, your computer hardware has been upgraded, and the guy has still been trying to back out of your driveway for the past 30 minutes.",asian,1
How do you make a baby explode You convert it to islam,muslim,4
How do you name a jew pokmon trainer Ash,jewish,3
How do you pick up a Jewish girl from auschwitz With a dustpan and brush.,jewish,3
"How do you pick up black girls You burn their village, chain them up and raise the anchors.",black,2
How do you proposition feminists for sex for the explicit purpose of procreating,women,5
How do you save a black man from dying of drug abuse Shoot him.,black,2
How do you speed up a Jew Press the gas pedal.,jewish,3
How do you stop a Jewish man from smoking You let him out.,jewish,3
"How do you stop a horizon Push her back down, and slap her if she resists.",women,5
How do you stop black guys from hanging out in front of your house Cut the rope.,black,2
How do you stop black kids from jumping on the bed Put Velcro on the ceiling,black,2
How does a black guy Send mail With food stamps,black,2
"How does a black woman know she's pregnant When she takes out her tampon, all the cotton's already picked.",black,2
How fast can a Jew run How ever fast the wind blows,jewish,3
"How is Hoss McDank like Oprah They're both fat, worthless NIGGERS.",black,2
How is my daughter like aspirin I take her every 4 to 6 hours when I'm feeling sick.,women,5
How long does it take a black lady to shit 9 months,black,2
How long does it take a black woman to take a dump 9 months,black,2
"How many Jews can you fit in a car 2 in the front, 3 in the back, and 6 million in the ashtray. Im so sorry.",jewish,3
"How many Jews does it take to cook a dinner Two. One in the fire, one above the fire.",jewish,3
How many Jews does it take to fix a lightbulb Definitely more than 10 cause my basement is now dark with a pile of ash,jewish,3
How many Jews does it take to have fun 6 million and a furnace.,jewish,3
"How many black guys does it take to change a light bulb I don't know, I can't see them",black,2
How many jews died in the Holocaust Not enough.,jewish,3
"How many shots does it take for a black guy to tap out Twenty, apparently",black,2
How to know if you're good at sports Your not good if your not black,black,2
How u hoes keep y'all hair done but shoes be dirty,women,5
How was the Grand Canyon created A jew dropped a penny in a mole-hole,jewish,3
How you get mad at me cause I'm wit somebody else ain't nobody tell you to go be a hoe wen I was wit you,women,5
Humans are like bread. We all come from the same loaf of bread but are differently toasted. But who likes burnt toast,black,2
I Can tell you right now if a black mob is threatening my life and burning my town I 'm going to start shooting .,black,2
I HATE WHEN NIGGAS PULL OUT GUNS AND DONT BUSS SHIT!!! #STOPPUMPFAKING2k17,black,2
I Remember the good old days When I used to ask my mom to buy me a monkey pet and she brought home a 6 ft black man,black,2
I Support LGBTQ Activities L - Lets G - GoB - BeatT - TheQ - Queers,women,5
I Told My American Friend To Smoke A Fag When He Gets Stressed He shot up an Orlando nightclub.,women,5
"I am an African American . Nah, kidding. If I really was, I would say nigger .",black,2
I am disgusted by the amount of white hate and brown love that teachers try to pump into my 16 year olds head .,black,2
I am for equality in the law for all people white black red yellow and blue. Homo's Hetero's well I draw the line... http,women,5
I asked a Jewish girl for her number.. And she rolled up her sleeve,jewish,3
I asked my father to let me hold 5 and this nigga pulls out a fucking stack,black,2
I asked my mom why I have a black brother if both my parents are white They said because he was on sale,black,2
"I been popping pills and fucking bitches, I feel like a rockstar",women,5
"I believe in equal rights for gay people, but I wish they wouldn't kiss in public. It's gross.",women,5
"I believe the correct term is bortches @user @user I'm not sexist , but some girls are just straight birches honestly",women,5
I bought a girl at an auction She had no teeth,women,5
